followers,artist_name,popularity,id_for_artist
13028,ABS-CBN Music All Star,51,2H4bbbOohoe9zhqEsiRi7j
913065,APO Hiking Society,54,4RA4PC3WHM9OHZLExirTcU
122541,Acdmnd$,38,6Poadk0ypYVBgNL07PNYVD
2400917,Adie,64,1DlYnIiliftt6R21Y5NOW2
817532,Agsunta,45,2UeuiDT17tm6ljs9D4bSMX
581630,Aiza Seguerra,46,0GnuCXvnvVtX5DShryuyp9
653440,Angeline Quinto,50,7DW4ijH3n36QN0RlC0n649
294316,Asin,45,5pbdyhkEpMobD6Fs6h729Q
83588,BGYO,43,10bk3EHVC30yi6F10nmvL8
59559,BINI,39,7tNO3vJC9zlHy2IJOx34ga
226467,Belle Mariano,53,404RA7nuwzYA8WskpMgUp1
8694454,Ben&Ben,66,4DAcJXcjX0zlQAZAPAx4Zb
16,Borben Dallas & His Filipino Cupids,0,5suSnKBYRcvCrLtJgf5cgq
4861,Brxn,38,11sFlcfZXlFoGYEnPYfFSF
35214,Bukas Palad Music Ministry,47,3m6LsCP4SaZGScWSqwADvI
105049,CK YG,59,57yOAX6apIrclpBG736Uy2
6977,Cliff,41,3jjbX9cm5Np3ekAypS71si
10,Cornerstone Filipino Worship,0,30HQSfHnA4iCeqXokZqsrs
273,Cornerstone Filipino Worship Team,0,2cCtNVL7fDkoBh5hkAC7Gk
125,DJ Jester The Filipino Fist,0,1tDPq9NSmg3Bmeq8todFwH
361765,Dilaw,59,6Dp4LInLyMVA2qhRqQ6AGL
1,Dj Jester The Filipino Fist,0,3eF1B3leelN4rvIwMJjy2l
141,Endorfino Filipino,0,35Yx59a4Hs94j4IXHrAG4Q
3754278,Eraserheads,61,7374lH6kwx9uQATYQ9H3Cp
710396,Erik Santos,47,7ygtjsCTrCQZAYYPOne9uE
4,FILIPINOBODY,0,56COvjSDkzieUVAYyJgRgv
122622,Felip,48,2tEFDBihLXytoPl4xdResl
349,Filipinas Singers,12,79HRmniTOYMBdcPaz7TREf
65,Filipino,0,2KpuEK6U1ReDHokM47IrGW
78,Filipino American Symphony Orchestra,6,4WQF9CPTI2XEEahkdOeiDZ
86,Filipino Artists for Environment,0,0G9EHcTnPk4IZsJEi3RmI8
43,Filipino Boxing,0,4HQkASJbCz1aaZJKmXENgT
33,Filipino Christian Church Abu Dhabi,0,5zJjtX6IQy7CKoReCNhbIt
36,Filipino Dream Girls,0,6fp1HRbyy5qLhZSzLutzEX
2,Filipino Friends,0,2wgimL1UQjB5swbNMNDDRV
17020,Filipino Music,11,0m9auxoFF7hOR9VEI0d2G5
201,Filipino Music Ang Pasko ay Sumapit,5,3f6H8BTVl7aTmERSKeY0pr
472,Filipino Music Productions,1,4Ln3t1aJ5jSPWKwioAUIYY
18,Filipino T,0,0S9ABFHuZGHe7VKmxTe6yp
36,Filipino Youth Choir,13,7Hxfi7Cpcyi4bDexzyNOJ4
1,Filipino no Beat,0,3WVfWHRlPsP3ifWnPKivK8
3,Finest Filipino Femcees,0,1mEemY3ZrQyZKD8D9JpaL7
24838,Flict G,39,4K7jEoIMJx2MpmgivAbJsS
45982,Florante,39,14xDeJRwQRbJIaSBikR4KH
1580068,Flow G,66,3PDFGpPl4ienSn5Vwisfrh
241331,Freddie Aguilar,49,7fihhreD4v29FQsWykhCJm
318810,Freestyle,53,0jarApAsbmiCkYhz0590mE
996666,Gary Valenciano,49,0RHiqaoRCsFLPeEuj3OQz4
38,Grace Filipino Worship,12,0IUziOAJpy74c15T57SiUT
995147,Hale,59,6Ww3OMFzCaO33ulKh1LBFN
14017,Hope Filipino Worship,36,1pKJB3XKK3aSglcU0dsKVL
61906,Hotdog,39,4sEykiNSzZbkFkNXTb1bVd
48,Ian Filipino,2,5LBofnkJGj5LccT3h81Vli
951461,Imago,46,6MXu7TWZnmykwkXiRJeUMh
267,JAYA,42,6NEo2X59zgMncDWRLEOcs0
237797,Janno Gibbs,46,6ty99gP6NrhgCOkMF2ONpy
105928,Jaya,38,2TeEZ5rfw62Mw15I4RFjXK
45,Jeff Morena (aka The Funky Filipino),0,5pg9Urq2kfEehmJqIvhYv9
30750,Jenzen Guino Official,36,2tKfutC3pO6xm8iyRuGZgz
139508,Joey Albert,45,37Aki1DpJUPf8i3vcMhU6L
1467898,John Roa,58,2U5mF0PZqGu6glnz55yY0y
129655,Jona,40,7LVPSD4kabI5LiXIVPI8tn
779692,Juris,47,4BNWanhw4AjSXjBm9L1Jzy
