,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.709,0.867,10,-5.122,0,0.0424,0.109,0.000611,0.153,0.3,151.966,audio_features,6Rv8Ltr2MuAIM3LHF4L8qs,spotify:track:6Rv8Ltr2MuAIM3LHF4L8qs,https://api.spotify.com/v1/tracks/6Rv8Ltr2MuAIM3LHF4L8qs,https://api.spotify.com/v1/audio-analysis/6Rv8Ltr2MuAIM3LHF4L8qs,219470,4
1,0.637,0.596,1,-6.864,1,0.127,0.484,0,0.102,0.291,74.635,audio_features,5hCJIUsAqjKFlvKrvCcUIb,spotify:track:5hCJIUsAqjKFlvKrvCcUIb,https://api.spotify.com/v1/tracks/5hCJIUsAqjKFlvKrvCcUIb,https://api.spotify.com/v1/audio-analysis/5hCJIUsAqjKFlvKrvCcUIb,354072,4
2,0.744,0.572,3,-9.542,0,0.268,0.152,0,0.0949,0.535,156.071,audio_features,6TKDFOO6Rv6VuB9PxcXQO3,spotify:track:6TKDFOO6Rv6VuB9PxcXQO3,https://api.spotify.com/v1/tracks/6TKDFOO6Rv6VuB9PxcXQO3,https://api.spotify.com/v1/audio-analysis/6TKDFOO6Rv6VuB9PxcXQO3,197329,4
3,0.657,0.746,1,-6.277,1,0.0464,0.0175,0,0.107,0.467,136.887,audio_features,2tzAN1L07SNwnOdgOEeuQr,spotify:track:2tzAN1L07SNwnOdgOEeuQr,https://api.spotify.com/v1/tracks/2tzAN1L07SNwnOdgOEeuQr,https://api.spotify.com/v1/audio-analysis/2tzAN1L07SNwnOdgOEeuQr,341574,4
4,0.8,0.529,9,-9.17,1,0.0614,0.661,0,0.0856,0.602,128.051,audio_features,7AfHth66ZDGTEbRkhbt73I,spotify:track:7AfHth66ZDGTEbRkhbt73I,https://api.spotify.com/v1/tracks/7AfHth66ZDGTEbRkhbt73I,https://api.spotify.com/v1/audio-analysis/7AfHth66ZDGTEbRkhbt73I,240179,4
5,0.705,0.651,11,-7.11,1,0.066,0.12,0,0.297,0.701,157.963,audio_features,1CLBLpfBGZ7zk3J9X1SVQt,spotify:track:1CLBLpfBGZ7zk3J9X1SVQt,https://api.spotify.com/v1/tracks/1CLBLpfBGZ7zk3J9X1SVQt,https://api.spotify.com/v1/audio-analysis/1CLBLpfBGZ7zk3J9X1SVQt,209628,4
6,0.617,0.719,11,-8.187,1,0.0527,0.509,3.43E-06,0.134,0.716,89.961,audio_features,2gPM7xwPfVoKPAytyhMToC,spotify:track:2gPM7xwPfVoKPAytyhMToC,https://api.spotify.com/v1/tracks/2gPM7xwPfVoKPAytyhMToC,https://api.spotify.com/v1/audio-analysis/2gPM7xwPfVoKPAytyhMToC,261401,4
7,0.618,0.718,4,-6.639,0,0.349,0.158,0,0.106,0.559,77.55,audio_features,1UPVx1JTMLXSjQHVh0oHpW,spotify:track:1UPVx1JTMLXSjQHVh0oHpW,https://api.spotify.com/v1/tracks/1UPVx1JTMLXSjQHVh0oHpW,https://api.spotify.com/v1/audio-analysis/1UPVx1JTMLXSjQHVh0oHpW,219877,4
8,0.847,0.579,6,-9.778,0,0.133,0.0489,0,0.0744,0.533,111.98,audio_features,2JoAaNAys6UqojZxcrjUpm,spotify:track:2JoAaNAys6UqojZxcrjUpm,https://api.spotify.com/v1/tracks/2JoAaNAys6UqojZxcrjUpm,https://api.spotify.com/v1/audio-analysis/2JoAaNAys6UqojZxcrjUpm,215000,4
9,0.671,0.632,7,-9.04,1,0.0576,0.0762,0,0.429,0.385,146.038,audio_features,3pgtxJkZQjS3JweFaNmIxZ,spotify:track:3pgtxJkZQjS3JweFaNmIxZ,https://api.spotify.com/v1/tracks/3pgtxJkZQjS3JweFaNmIxZ,https://api.spotify.com/v1/audio-analysis/3pgtxJkZQjS3JweFaNmIxZ,263014,4
10,0.491,0.314,10,-8.58,1,0.0301,0.776,4.76E-06,0.152,0.295,126.921,audio_features,3WUEs51GpcvlgU7lehLgLh,spotify:track:3WUEs51GpcvlgU7lehLgLh,https://api.spotify.com/v1/tracks/3WUEs51GpcvlgU7lehLgLh,https://api.spotify.com/v1/audio-analysis/3WUEs51GpcvlgU7lehLgLh,318814,4
11,0.311,0.342,2,-8.889,1,0.032,0.432,1.93E-06,0.114,0.274,177.158,audio_features,3PgjBOoA5OytNGkglObpOd,spotify:track:3PgjBOoA5OytNGkglObpOd,https://api.spotify.com/v1/tracks/3PgjBOoA5OytNGkglObpOd,https://api.spotify.com/v1/audio-analysis/3PgjBOoA5OytNGkglObpOd,288189,4
